name,delivery_name
navdeep saini,Navdeep Saini
karun nair,Imran Tahir
rassie van der dussen,HE van der Dussen
daryl mitchell,DJ Mitchell
obed mccoy,
dhruv jurel,Dhruv Jurel
tejas baroka,Tejas Baroka
kuldeep yadav,Kuldeep Yadav
shubham garhwal,MA Agarwal
anunay singh,Sanvir Singh
faf du plessis,F du Plessis
wanindu hasaranga,Atharva Taide
harshal patel,YS Chahal
dinesh karthik,KD Karthik
josh hazlewood,JR Hazlewood
shahbaz ahmed,Shahbaz Ahmed
anuj rawat,Anuj Rawat
akash deep,Akash Deep
karn sharma,Sandeep Sharma
mahipal lomror,MK Lomror
sherfane rutherford,SE Rutherford
jason behrendorff,JP Behrendorff
siddarth kaul,M Siddharth
suyash prabhudessai,SS Prabhudessai
luvnith sisodia,
chama v milind,Shivam Sharma
aneeshwar gautam,Sandeep Sharma
david willey,DJ Willey
washington sundar,Washington Sundar
nicholas pooran,N Pooran
bhuvneshwar kumar,Ashwani Kumar
priyam garg,Mayank Dagar
rahul tripathi,RA Tripathi
vishnu vinod,Vishnu Vinod
kartik tyagi,Kartik Tyagi
shreyas gopal,S Gopal
jagadeesha suchith,N Jagadeesan
aiden markram,AK Markram
marco jansen,M Jansen
romario shepherd,R Shepherd
glenn phillips,GD Phillips
fazalhaq farooqi,Fazalhaq Farooqi
sean abbott,SA Abbott
ravikumar samarth,Vijaykumar Vyshak
shashank singh,Shashank Singh
saurabh dubey,Harsh Dubey
ajinkya rahane,Umran Malik
bhagath varma,Karim Janat
kyle jamieson,KA Jamieson
ajay jadav mandal,R Sanjay Yadav
nishant sindhu,M Prasidh Krishna
shaik rasheed,SK Rasheed
ben stokes,BA Stokes
philip salt,GD Phillips
ishant sharma,Abhishek Sharma
rilee rossouw,RR Rossouw
mukesh kumar,Mukesh Kumar
shivam mavi,Shivam Mavi
srikar bharat,KS Bharat
urvil patel,Urvil Patel
mohit sharma,Ankit Sharma
joshua little,J Little
odean smith,DR Smith
kulwant khejroliya,K Khejroliya
shakib al hasan,Shakib Al Hasan
vaibhav arora,
n jagadeesan,N Jagadeesan
david wiese,D Wiese
mandeep singh,Ramandeep Singh
litton das,Liton Das
suyash sharma,Suyash Sharma
